user_id,jd_poi,score,time,time_stamp,
6297128,701615,0,2015/5/29,1432828800,
120164656,701615,4,2015/1/17,1421424000,
125874180,701615,4,2014/4/28,1398614400,
127284308,701615,0,2014/4/15,1397491200,
136337796,701615,0,2013/9/9,1378656000,
139242968,701615,4,2015/7/11,1436544000,
139242968,701615,4,2016/2/20,1455897600,
144185311,701615,0,2016/12/9,1481212800,
144185311,701615,0,2016/12/13,1481558400,
145262322,701615,0,2017/8/8,1502121600,
150922261,701615,0,2014/10/28,1414425600,
154137167,701615,0,2017/7/19,1500393600,
156564232,701615,0,2017/7/18,1500307200,
158198382,701615,5,2016/3/12,1457712000,
158198382,701615,0,2016/3/12,1457712000,
164698473,701615,5,2016/9/8,1473264000,
168088275,701615,0,2018/2/12,1518364800,
182389004,701615,0,2017/6/5,1496592000,
239743932,701615,5,2018/5/23,1527004800,
253063920,701615,5,2017/3/31,1490889600,
9292400,701632,5,2016/3/26,1458921600,
122013004,701632,0,2016/7/7,1467820800,
126645624,701632,4,2015/9/14,1442160000,
138208756,701632,5,2015/5/29,1432828800,
145690394,701632,0,2014/11/26,1416931200,
147449116,701632,4,2019/11/3,1572710400,
147730842,701632,5,2015/6/25,1435161600,
147915255,701632,4,2015/8/4,1438617600,
150827135,701632,4,2015/3/11,1426003200,
151406830,701632,0,2017/3/27,1490544000,
160267296,701632,4,2015/3/5,1425484800,
172947040,701632,5,2015/2/3,1422892800,
173283530,701632,5,2017/5/3,1493740800,
174854441,701632,4,2018/3/23,1521734400,
174854441,701632,0,2018/4/12,1523462400,
180607028,701632,5,2015/10/29,1446048000,
184224847,701632,5,2016/4/7,1459958400,
189115045,701632,4,2015/6/17,1434470400,
209270191,701632,5,2018/6/25,1529856000,
217145918,701632,4,2016/2/13,1455292800,
219287456,701632,4,2018/1/4,1514995200,
233365275,701632,5,2016/8/29,1472400000,
236398351,701632,0,2016/10/8,1475856000,
270702608,701632,0,2018/3/10,1520611200,
1405836,701732,0,2017/5/16,1494864000,
3285728,701732,5,2015/9/10,1441814400,
5193530,701732,5,2019/7/22,1563724800,
10695190,701732,5,2018/10/24,1540310400,
10695190,701732,0,2018/10/24,1540310400,
122013004,701732,5,2018/5/5,1525449600,
124474514,701732,5,2018/5/4,1525363200,
125253882,701732,0,2017/9/7,1504713600,
130559724,701732,5,2019/10/6,1570291200,
131197098,701732,4,2017/9/9,1504886400,
133785312,701732,0,2013/8/21,1377014400,
139242968,701732,4,2015/7/11,1436544000,
139674516,701732,4,2017/4/23,1492876800,
139824826,701732,5,2019/3/14,1552492800,
143115810,701732,5,2014/4/22,1398096000,
146547790,701732,0,2017/4/25,1493049600,
148225311,701732,4,2014/5/8,1399478400,
148225647,701732,4,2014/5/5,1399219200,
150564746,701732,0,2014/7/18,1405612800,
160068692,701732,5,2015/1/16,1421337600,
165758353,701732,5,2017/8/31,1504108800,
166825918,701732,5,2017/4/19,1492531200,
175478349,701732,5,2018/4/7,1523030400,
180607028,701732,5,2015/6/15,1434297600,
183210974,701732,0,2018/7/20,1532016000,
190840190,701732,5,2015/10/1,1443628800,
191716560,701732,0,2015/7/6,1436112000,
